"location","hits","keyword","geo","gprop","end.date","start.date"
"Djibouti","","tick paralysis","world","web",2018-04-13,2018-04-06
"Dominica","","tick paralysis","world","web",2018-04-13,2018-04-06
"Denmark","","tick paralysis","world","web",2018-04-13,2018-04-06
"Dominican Republic","","tick paralysis","world","web",2018-04-13,2018-04-06
"Algeria","","tick paralysis","world","web",2018-04-13,2018-04-06
"Ecuador","","tick paralysis","world","web",2018-04-13,2018-04-06
"Eritrea","","tick paralysis","world","web",2018-04-13,2018-04-06
"Western Sahara","","tick paralysis","world","web",2018-04-13,2018-04-06
"Estonia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Ethiopia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Finland","","tick paralysis","world","web",2018-04-13,2018-04-06
"Falkland Islands (Islas Malvinas)","","tick paralysis","world","web",2018-04-13,2018-04-06
"Faroe Islands","","tick paralysis","world","web",2018-04-13,2018-04-06
"Micronesia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Gabon","","tick paralysis","world","web",2018-04-13,2018-04-06
"Georgia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Guernsey","","tick paralysis","world","web",2018-04-13,2018-04-06
"Ghana","","tick paralysis","world","web",2018-04-13,2018-04-06
"Gibraltar","","tick paralysis","world","web",2018-04-13,2018-04-06
"Guinea","","tick paralysis","world","web",2018-04-13,2018-04-06
"Guadeloupe","","tick paralysis","world","web",2018-04-13,2018-04-06
"Guinea-Bissau","","tick paralysis","world","web",2018-04-13,2018-04-06
"Equatorial Guinea","","tick paralysis","world","web",2018-04-13,2018-04-06
"Greece","","tick paralysis","world","web",2018-04-13,2018-04-06
"Grenada","","tick paralysis","world","web",2018-04-13,2018-04-06
"Greenland","","tick paralysis","world","web",2018-04-13,2018-04-06
"Guatemala","","tick paralysis","world","web",2018-04-13,2018-04-06
"French Guiana","","tick paralysis","world","web",2018-04-13,2018-04-06
"Guam","","tick paralysis","world","web",2018-04-13,2018-04-06
"Guyana","","tick paralysis","world","web",2018-04-13,2018-04-06
"Hong Kong","","tick paralysis","world","web",2018-04-13,2018-04-06
"Heard & McDonald Islands","","tick paralysis","world","web",2018-04-13,2018-04-06
"Honduras","","tick paralysis","world","web",2018-04-13,2018-04-06
"Haiti","","tick paralysis","world","web",2018-04-13,2018-04-06
"Hungary","","tick paralysis","world","web",2018-04-13,2018-04-06
"Isle of Man","","tick paralysis","world","web",2018-04-13,2018-04-06
"British Indian Ocean Territory","","tick paralysis","world","web",2018-04-13,2018-04-06
"Iceland","","tick paralysis","world","web",2018-04-13,2018-04-06
"Jamaica","","tick paralysis","world","web",2018-04-13,2018-04-06
"Jersey","","tick paralysis","world","web",2018-04-13,2018-04-06
"Japan","","tick paralysis","world","web",2018-04-13,2018-04-06
"Kazakhstan","","tick paralysis","world","web",2018-04-13,2018-04-06
"Kyrgyzstan","","tick paralysis","world","web",2018-04-13,2018-04-06
"Cambodia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Kiribati","","tick paralysis","world","web",2018-04-13,2018-04-06
"St. Kitts & Nevis","","tick paralysis","world","web",2018-04-13,2018-04-06
"South Korea","","tick paralysis","world","web",2018-04-13,2018-04-06
"Kuwait","","tick paralysis","world","web",2018-04-13,2018-04-06
"Laos","","tick paralysis","world","web",2018-04-13,2018-04-06
"Lebanon","","tick paralysis","world","web",2018-04-13,2018-04-06
"Liberia","","tick paralysis","world","web",2018-04-13,2018-04-06
"St. Lucia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Liechtenstein","","tick paralysis","world","web",2018-04-13,2018-04-06
"Sri Lanka","","tick paralysis","world","web",2018-04-13,2018-04-06
"Lesotho","","tick paralysis","world","web",2018-04-13,2018-04-06
"Lithuania","","tick paralysis","world","web",2018-04-13,2018-04-06
"Luxembourg","","tick paralysis","world","web",2018-04-13,2018-04-06
"Latvia","","tick paralysis","world","web",2018-04-13,2018-04-06
"Macau","","tick paralysis","world","web",2018-04-13,2018-04-06
"St. Martin","","tick paralysis","world","web",2018-04-13,2018-04-06
"Morocco","","tick paralysis","world","web",2018-04-13,2018-04-06
"Monaco","","tick paralysis","world","web",2018-04-13,2018-04-06
"Madagascar","","tick paralysis","world","web",2018-04-13,2018-04-06
"Maldives","","tick paralysis","world","web",2018-04-13,2018-04-06
